route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_motor
OCE16628,1408,OCESN003629F050059587,"3629",1,,,intercite
OCE16628,2506,OCESN003629F110119586,"3629",1,,,intercite
OCE16628,6623,OCESN003655F260269629,"3655",1,,,intercite
OCE16628,6621,OCESN003655F230239627,"3655",1,,,intercite
OCE16628,6620,OCESN003655F240249628,"3655",1,,,intercite
OCE16628,4650,OCESN003685F290299661,"3685",1,,,intercite
OCE16628,74,OCESN003685F250259660,"3685",1,,,intercite
OCE16628,4652,OCESN003685F350359662,"3685",1,,,intercite
OCE16628,4651,OCESN003685F180189665,"3685",1,,,intercite
OCE16628,999,OCESN003685F330339663,"3685",1,,,intercite
OCE16628,6634,OCESN003615F190199565,"3615",1,,,intercite
OCE16628,402,OCESN003615F180189566,"3615",1,,,intercite
OCE16628,4649,OCESN003685F340349658,"3685",1,,,intercite
OCE16628,6633,OCESN003615F090099563,"3615",1,,,intercite
OCE16628,3798,OCESN003635F230239597,"3635",1,,,intercite
OCE16628,1350,OCESN003635F330339595,"3635",1,,,intercite
OCE16628,426,OCESN003665F330339637,"3665",1,,,intercite
OCE16628,5522,OCESN003665F130139636,"3665",1,,,intercite
OCE16628,4193,OCESN003665F140149635,"3665",1,,,intercite
OCE16628,6627,OCESN003635F320329594,"3635",1,,,intercite
OCE16628,6638,OCESN003621F170179574,"3621",1,,,intercite
OCE16628,6637,OCESN003621F150159573,"3621",1,,,intercite
OCE16628,5522,OCESN003621F040049576,"3621",1,,,intercite
OCE16628,2075,OCESN003705F240249673,"3705",1,,,intercite
OCE16628,382,OCESN003645F420429609,"3645",1,,,intercite
OCE16628,7872,OCESN003645F360369610,"3645",1,,,intercite
OCE16628,6639,OCESN003605F250259553,"3605",1,,,intercite
OCE16628,7873,OCESN003645F17017-4973103594,"3645",1,,,intercite
OCE16628,7874,OCESN003645F170179612,"3645",1,,,intercite
OCE16628,6625,OCESN003645F430439614,"3645",1,,,intercite
OCE16628,849,OCESN003645F220229611,"3645",1,,,intercite
OCE16628,7875,OCESN003645F36036-4959103593,"3645",1,,,intercite
OCE16628,3791,OCESN003605F100109554,"3605",1,,,intercite
OCE16628,5137,OCESN003619F010019569,"3619",1,,,intercite
