service_id,date,exception_type
779,20211230,2
779,20211231,2
779,20220101,2
823,20211128,1
823,20211212,1
292,20211221,2
292,20211222,2
292,20211223,2
292,20211224,2
292,20211225,2
292,20211228,2
292,20211229,2
292,20211230,2
292,20211231,2
292,20220101,2
379,20211222,2
379,20211223,2
379,20211224,2
379,20211225,2
379,20211229,2
379,20211230,2
379,20211231,2
379,20220101,2
7437,20211221,1
7437,20211222,1
7437,20211223,1
7437,20211224,1
7437,20211228,1
7437,20211229,1
7437,20211230,1
7437,20211231,1
1593,20211226,2
1593,20220102,2
371,20211221,2
371,20211228,2
293,20211223,2
293,20211230,2
297,20211221,2
297,20211222,2
297,20211224,2
297,20211225,2
297,20211228,2
297,20211229,2
297,20211231,2
297,20220101,2
367,20211225,2
367,20220101,2
3539,20211220,2
3539,20211227,2
3539,20220103,2
1725,20211225,2
1725,20220101,2
3236,20211221,1
3236,20211222,1
3236,20211224,1
3236,20211226,1
3236,20211228,1
3236,20211229,1
3236,20211231,1
3236,20220102,1
3236,20211219,1
431,20211225,2
431,20220101,2
4653,20211220,2
4653,20211227,2
4653,20220103,2
3238,20211219,2
3238,20211221,2
3238,20211222,2
3238,20211224,2
3238,20211225,2
3238,20211226,2
3238,20211228,2
3238,20211229,2
3238,20211231,2
3238,20220101,2
3238,20220102,2
352,20211223,2
352,20211230,2
335,20211226,2
335,20220102,2
419,20211225,2
419,20220101,2
365,20211225,2
365,20220101,2
363,20211224,2
363,20211231,2
362,20211221,2
362,20211222,2
362,20211223,2
362,20211224,2
362,20211228,2
362,20211229,2
362,20211230,2
362,20211231,2
350,20211223,1
350,20211230,1
350,20211225,2
350,20220101,2
361,20211221,1
361,20211222,1
361,20211228,1
361,20211229,1
338,20211225,2
338,20220101,2
357,20211221,2
357,20211222,2
357,20211224,2
357,20211228,2
357,20211229,2
357,20211231,2
1829,20211207,1
1255,20211218,1
7878,20211219,1
623,20211221,2
623,20211222,2
623,20211223,2
623,20211224,2
623,20211225,2
623,20211226,2
623,20211228,2
623,20211229,2
623,20211230,2
623,20211231,2
623,20220101,2
623,20220102,2
3373,20211223,2
3373,20211226,2
3373,20211230,2
3373,20220102,2
386,20211221,2
386,20211222,2
386,20211224,2
386,20211225,2
386,20211228,2
386,20211229,2
386,20211231,2
386,20220101,2
369,20211221,2
369,20211222,2
369,20211223,2
369,20211224,2
369,20211225,2
369,20211228,2
369,20211229,2
369,20211230,2
369,20211231,2
369,20220101,2
355,20211224,2
355,20211231,2
336,20211224,1
336,20211231,1
336,20211225,2
336,20220101,2
430,20211225,2
430,20220101,2
4764,20211225,2
4764,20220101,2
343,20211221,2
343,20211222,2
343,20211223,2
343,20211224,2
343,20211225,2
343,20211226,2
343,20211228,2
343,20211229,2
343,20211230,2
343,20211231,2
343,20220101,2
343,20220102,2
1700,20211221,2
1700,20211222,2
1700,20211223,2
1700,20211224,2
1700,20211225,2
1700,20211228,2
1700,20211229,2
1700,20211230,2
1700,20211231,2
1700,20220101,2
