service_id,date,exception_type
335,2021-10-10,2
419,2020-01-22,2
419,2021-10-10,2
365,2020-01-22,2
365,2021-10-10,2
363,2020-01-22,2
363,2020-01-23,2
362,2020-01-22,2
362,2020-01-22,2
362,2020-01-22,2
362,2020-01-22,2
362,2020-01-22,2
362,2020-01-22,2
362,2020-01-23,2
362,2020-01-23,2
350,2020-01-22,1
350,2020-01-23,1
350,2020-01-22,2
350,2021-10-10,2
361,2020-01-22,1
361,2020-01-22,1
361,2020-01-22,1
361,2020-01-22,1
338,2020-01-22,2
338,2021-10-10,2
357,2020-01-22,2
357,2020-01-22,2
357,2020-01-22,2
357,2020-01-22,2
357,2020-01-22,2
357,2020-01-23,2
1829,2020-01-20,1
1255,2020-01-21,1
7878,2020-01-21,1
623,2020-01-22,2
623,2020-01-22,2
623,2020-01-22,2
623,2020-01-22,2
623,2020-01-22,2
623,2020-01-22,2
623,2020-01-22,2
623,2020-01-22,2
623,2020-01-23,2
623,2020-01-23,2
623,2021-10-10,2
623,2021-10-10,2
3373,2020-01-22,2
3373,2020-01-22,2
3373,2020-01-23,2
3373,2021-10-10,2
386,2020-01-22,2
386,2020-01-22,2
386,2020-01-22,2
386,2020-01-22,2
386,2020-01-22,2
386,2020-01-22,2
386,2020-01-23,2
386,2021-10-10,2
369,2020-01-22,2
369,2020-01-22,2
369,2020-01-22,2
369,2020-01-22,2
369,2020-01-22,2
369,2020-01-22,2
369,2020-01-22,2
369,2020-01-23,2
369,2020-01-23,2
369,2021-10-10,2
355,2020-01-22,2
355,2020-01-23,2
336,2020-01-22,1
336,2020-01-23,1
336,2020-01-22,2
336,2021-10-10,2
430,2020-01-22,2
430,2021-10-10,2
4764,2020-01-22,2
4764,2021-10-10,2
343,2020-01-22,2
343,2020-01-22,2
343,2020-01-22,2
343,2020-01-22,2
343,2020-01-22,2
343,2020-01-22,2
343,2020-01-22,2
343,2020-01-22,2
343,2020-01-23,2
343,2020-01-23,2
343,2021-10-10,2
343,2021-10-10,2
1700,2020-01-22,2
1700,2020-01-22,2
1700,2020-01-22,2
1700,2020-01-22,2
1700,2020-01-22,2
1700,2020-01-22,2
1700,2020-01-22,2
1700,2020-01-23,2
1700,2020-01-23,2
1700,2021-10-10,2
2308,2020-01-22,1
2308,2021-10-10,1
558,2020-01-22,1
558,2021-10-10,1
7286,2020-01-22,2
7286,2020-01-22,2
7286,2020-01-22,2
7286,2020-01-22,2
7286,2020-01-22,2
7286,2020-01-22,2
7286,2020-01-23,2
7286,2021-10-10,2
670,2020-01-22,2
670,2021-10-10,2
994,2020-01-22,2
994,2020-01-22,2
994,2020-01-22,2
994,2020-01-22,2
994,2020-01-22,2
994,2020-01-22,2
994,2020-01-22,2
994,2020-01-23,2
994,2020-01-23,2
994,2021-10-10,2
7552,2021-10-11,2
1865,2021-10-11,1
2606,2020-01-22,2
2606,2020-01-23,2
4230,2020-01-22,1
4230,2020-01-23,1
4230,2021-10-11,2
5096,2020-01-22,1
5096,2020-01-23,1
1976,2020-01-22,1
1976,2020-01-22,1
1976,2020-01-22,1
1976,2020-01-22,1
1976,2020-01-22,1
1976,2020-01-22,1
1976,2020-01-22,1
1976,2020-01-23,1
1976,2020-01-23,1
1976,2021-10-10,1
1976,2021-10-20,1
1976,2021-10-20,1
1976,2021-10-21,1
1976,2021-10-21,1
1976,2021-10-21,1
1976,2021-10-21,1
1976,2021-10-21,1
1976,2021-10-21,1
1672,2021-10-21,1
1672,2020-01-22,1
1672,2020-01-22,1
1672,2020-01-22,1
1672,2020-01-22,1
1672,2020-01-22,1
1672,2020-01-22,1
1672,2020-01-23,1
1672,2020-01-23,1
1672,2021-10-21,1
1672,2021-10-21,1
1672,2021-10-21,1
7561,2020-01-22,1
7561,2020-01-22,1
7561,2020-01-22,1
7561,2020-01-22,1
7561,2020-01-22,1
